word,bonares_voc,lemma
mirabelle plum/prunus domestica subsp. syriaca,mirabelle plum/prunus domestica subsp. syriaca,mirabelle plum / prunus domestica subsp . syriaca
victoria plum/prunus domestica subsp. intermedia,victoria plum/prunus domestica subsp. intermedia,victoria plum / prunus domestica subsp . intermedia
black radish/raphanus sativus var. niger,black radish/raphanus sativus var. niger,black radish / raphanus sativus var . niger
daikon/white radish/raphanus raphanistrum subsp. sativus,daikon/white radish/raphanus raphanistrum subsp. sativus,daikon / white radish / raphanus raphanistrum subsp . sativus
green radish/raphanus sativus var. caudatus,green radish/raphanus sativus var. caudatus,green radish / raphanus sativus var . caudatus
oilseed radish/raphanus sativus var. oleiformis,oilseed radish/raphanus sativus var. oleiformis,oilseed radish / raphanus sativus var . oleiformis
red radish/raphanus raphanistrum subsp. sativus,red radish/raphanus raphanistrum subsp. sativus,red radish / raphanus raphanistrum subsp . sativus
wild radish/raphanus sativus var. raphanistroides,wild radish/raphanus sativus var. raphanistroides,wild radish / raphanus sativus var . raphanistroide
asian raspberry/rubus crataegifolius,asian raspberry/rubus crataegifolius,asian raspberry / rubus crataegifolius
tasmanian alpine raspberry/rubus gunnianus,tasmanian alpine raspberry/rubus gunnianus,tasmanian alpine raspberry / rubus gunnianus
european red raspberry/rubus idaeus,european red raspberry/rubus idaeus,european red raspberry / rubus idaeus
whitebark raspberry/rubus leucodermis,whitebark raspberry/rubus leucodermis,whitebark raspberry / rubus leucodermis
black raspberry/rubus occidentalis,black raspberry/rubus occidentalis,black raspberry / rubus occidentali
australian native raspberry/rubus parvifolius,australian native raspberry/rubus parvifolius,australian native raspberry / rubus parvifolius
wine raspberry/rubus phoenicolasius,wine raspberry/rubus phoenicolasius,wine raspberry / rubus phoenicolasius
mauritius raspberry/rubus rosifolius,mauritius raspberry/rubus rosifolius,mauritius raspberry / rubus rosifolius
american red raspberry/rubus strigosus,american red raspberry/rubus strigosus,american red raspberry / rubus strigosus
yellow himalayan raspberry/rubus ellipticus,yellow himalayan raspberry/rubus ellipticus,yellow himalayan raspberry / rubus ellipticus
boulder raspberry/rubus deliciosus,boulder raspberry/rubus deliciosus,boulder raspberry / rubus deliciosus
flowering raspberry/rubus odoratus,flowering raspberry/rubus odoratus,flower raspberry / rubus odoratus
snow raspberry/rubus nivalis,snow raspberry/rubus nivalis,snow raspberry / rubus nivali
arctic raspberry/rubus arcticus,arctic raspberry/rubus arcticus,arctic raspberry / rubus arcticus
molucca raspberry/rubus sieboldii,molucca raspberry/rubus sieboldii,molucca raspberry / rubus sieboldii
african rice/oryza glaberrima,african rice/oryza glaberrima,african rice / oryza glaberrima
asian rice/oryza sativa,asian rice/oryza sativa,asian rice / oryza sativa
congo rubber/landolphia owariensis,congo rubber/landolphia owariensis,congo rubber / landolphia owariensis
amazonian rubber tree/hevea brasiliensis,amazonian rubber tree/hevea brasiliensis,amazonian rubber tree / hevea brasiliensis
rubber fig/ficus elastica,rubber fig/ficus elastica,rubber fig / ficus elastica
panama rubber tree/castilla elastica,panama rubber tree/castilla elastica,panama rubber tree / castilla elastica
common dandelion/taraxacum officinale,common dandelion/taraxacum officinale,common dandelion / taraxacum officinale
russian dandelion/taraxacum kok-saghyz,russian dandelion/taraxacum kok-saghyz,russian dandelion / taraxacum kok - saghyz
guayule/parthenium argentatum,guayule/parthenium argentatum,guayule / parthenium argentatum
palaquium gutta,palaquium gutta,palaquium gutta
scorzonera tau-saghyz,scorzonera tau-saghyz,scorzonera tau - saghyz
spring rye,spring rye,spring rye
fall rye,fall rye,fall rye
winter rye,winter rye,winter rye
