RefID,ReferenceTag,ReferenceYear,ReferenceName,DOI,ReferenceTitle,Comments,fname_x,fname_y,fname
54,Heppell_2000_JoH,2000,Heppell et al 2000. Journal of Hydrology 227: 236-256,10.1016/s0022-1694(99)00189-4,Variations in the hydrology of an underdrained clay hillslope,unknown,heppell2000,heppell2000,heppell2000
138,holden2014,2014,"Holden, Joseph, Catherine Wearing, Sheila Palmer, Benjamin Jackson, Kerrylyn Johnston, and Lee E. Brown. 2014. “Fire Decreases Near-Surface Hydraulic Conductivity and Macropore Flow in Blanket Peat: FIRE AND BLANKET PEAT HYDROLOGY.” Hydrological Processes 28 (5): 2868–76. https://doi.org/10.1002/hyp.9875.",10.1002/hyp.9875,Fire decreases near-surface hydraulic conductivity and macropore flow in blanket peat,K after burning at two tensions,holden2013,holden2013,holden2013
55,Hu_2008_SA,2008,"Hu et al. 2008. Sci. Agric., 65, 268-276",10.1590/s0103-90162008000300007,Spatial variability of soil hydraulic properties on a steep slope in the loess plateau of China,geostatistical analysis,hu2008,hu2008,hu2008
56,Hu_2009_G,2009,Hu et al. 2009. Geoderma 149:355-366,10.1016/j.geoderma.2008.12.016,Temporal changes of soil hydraulic properties under different land uses,temporal changes in K under different landuses in China (no sig. LU effects except at 15 cm tension),hu2009,hu2009,hu2009
132,Hyvaluoma2019,2019,"Hyväluoma, Jari, Mari Räty, Janne Kaseva, and Riikka Keskinen. 2020. “Changes over Time in Near-Saturated Hydraulic Conductivity of Peat Soil Following Reclamation for Agriculture.” Hydrological Processes 34 (2): 237–43. https://doi.org/10.1002/hyp.13578.",10.1002/hyp.13578,Changes over time in near‐saturated hydraulic conductivity of peat soil following reclamation for agriculture,space for time experiment,10.1002@hyp.13578,10.1002@hyp.13578,10.1002@hyp.13578
58,Imhoff_2010_G,2010,Imhoff et al 2010. Geoderma 158: 268-274,10.1016/j.geoderma.2010.05.005,Porosity characterization of Argiudolls under different management systems in the Argentine Flat Pampa,NT had larger K than CT for two soils in Argentina,imhoff2010,imhoff2010,imhoff2010
131,Ivino2016,2016,"Iovino, Massimo, Mirko Castellini, Vincenzo Bagarello, and Giuseppe Giordano. 2016. “Using Static and Dynamic Indicators to Evaluate Soil Physical Quality in a Sicilian Area.” Land Degradation & Development 27 (2): 200–210. https://doi.org/10.1002/ldr.2263.",10.1002/ldr.2263,Using Static and Dynamic Indicators to Evaluate Soil Physical Quality in a Sicilian Area,different tension and different crops ,iovino2013,iovino2013,iovino2013
59,Jacques_2002_WRR,2002,"Jacques et al. 2002. Water Resources Res., 38(7) 1120 10.1029/2001WR000595",10.1029/2001WR000595,Comparison of alternative methods for deriving hydraulic properties and scaling factors from single-disc tension infiltrometer measurements,different calculation methods for K,jacques2002,jacques2002,jacques2002
152,Pulido2014,2014,"Pulido, Penning, Timm, Gabriels, Cornelis. 2014. ""Visual examinations and soil physical and hydraulic properties for assessing soil structural quality of soils with contrasting textures and land uses"" 9.",10.1016/j.still.2014.02.009,Visual examinations and soil physical and hydraulic properties for assessing soil structural quality of soils with contrasting textures and land uses,,pulidomoncada2014,pulidomoncada2014,pulidomoncada2014
89,Rachman_2004_SSSoAJ,2004,"Rachman et al. 2004. Soil Sci. Soc. Am. J., 68:2000-2006",10.2136/sssaj2004.2000,Influence of Stiff-Stemmed Grass Hedge Systems on Infiltration,in-field grass buffer strips had higher K at 5 and 10 cm tension than cropped soil,rachman2004,rachman2004,rachman2004
90,Radford_2000_SaTR,2000,"Radford et al., 2000. Soil & Tillage Research, 54: 155-170",10.1016/s0167-1987(00)00091-x,Changes in the properties of a Vertisol and responses of wheat after compaction with harvester traffic,compaction from harvester traffic reduced K very near saturation,radford2000,radford2000,radford2000
91,Ramos_2006_VZJ,2006,Ramos et al. 2006. Vadose Zone J. 5:684-696,10.2136/vzj2005.0076,Estimation of Soil Hydraulic Properties from Numerical Inversion of Tension Disk Infiltrometer Data,inverse method,ramos2006,ramos2006,ramos2006
